City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,Mugur-Aksy,50.35,90.5,260.67,56,100,2.11,RU,2023-03-23
172,Sungurlu,40.1675,34.3739,280.93,84,69,0.77,TR,2023-03-23
173,Isla Mujeres,21.2311,-86.731,302.18,73,11,6.33,MX,2023-03-23
174,Sitka,57.0531,-135.33,276.09,87,100,2.57,US,2023-03-23
175,Bilma,18.6853,12.9164,300.32,17,0,4.28,NE,2023-03-23
176,Hobyo,5.3505,48.5268,301.19,74,83,4.3,SO,2023-03-23
177,Broken Hill,-31.95,141.4333,289.73,61,2,7.05,AU,2023-03-23
178,Smidovich,48.6,133.8167,265.14,80,100,3.4,RU,2023-03-23
179,Khatanga,71.9667,102.5,264.58,81,100,8.19,RU,2023-03-23
180,Souillac,-20.5167,57.5167,298.82,85,100,4.73,MU,2023-03-23
181,Eyl,7.9803,49.8164,300.63,77,100,2.26,SO,2023-03-23
182,Aswan,24.0934,32.907,298.74,22,2,3.6,EG,2023-03-23
183,Coatzintla,20.4833,-97.45,303.47,58,75,0.0,MX,2023-03-23
184,Taltal,-25.4,-70.4833,295.35,76,25,2.11,CL,2023-03-23
185,Diu,20.7141,70.9822,297.45,80,0,4.28,IN,2023-03-23
186,Acapulco,16.8634,-99.8901,303.05,70,0,4.12,MX,2023-03-23
187,Esperance,-33.8667,121.9,292.76,87,100,5.44,AU,2023-03-23
188,Bathsheba,13.2167,-59.5167,302.49,61,75,8.23,BB,2023-03-23
189,Stephenville,32.2207,-98.2023,300.85,55,75,7.2,US,2023-03-23
190,Durango,24.8333,-104.8333,299.94,7,0,9.47,MX,2023-03-23
191,Airai,-8.9266,125.4092,288.51,93,100,0.83,TL,2023-03-23
192,Karratha,-20.7377,116.8463,302.3,68,71,2.04,AU,2023-03-23
193,Kruisfontein,-34.0033,24.7314,293.64,89,100,7.95,ZA,2023-03-23
194,Roma,43.2128,-75.4557,286.31,91,100,0.0,US,2023-03-23
195,Chernyshevskiy,63.0128,112.4714,262.99,92,100,5.24,RU,2023-03-23
196,Dabat,12.9842,37.765,288.9,20,97,2.4,ET,2023-03-23
197,San Carlos,9.6612,-68.5827,304.9,39,100,2.84,VE,2023-03-23
198,Concordia,-31.393,-58.0209,296.19,94,75,1.54,AR,2023-03-23
199,Linxia,35.6003,103.2064,276.64,69,66,0.76,CN,2023-03-23
200,Gejiu,23.306,103.1635,284.32,53,4,0.63,CN,2023-03-23
201,Krasnokholmskiy,55.9873,55.0466,274.79,91,13,6.26,RU,2023-03-23
202,Pevek,69.7008,170.3133,250.51,98,100,2.26,RU,2023-03-23
203,Biloela,-24.4167,150.5,291.93,92,0,1.49,AU,2023-03-23
204,Verkhnetulomskiy,68.6073,31.7962,252.66,100,74,1.15,RU,2023-03-23
205,Mount Gambier,-37.8333,140.7667,288.6,81,89,4.73,AU,2023-03-23
206,Coquimbo,-29.9533,-71.3436,294.0,73,20,6.69,CL,2023-03-23
207,Provideniya,64.3833,-173.3,254.69,95,100,0.72,RU,2023-03-23
208,Tshikapa,-6.4167,20.8,295.8,92,64,0.55,CD,2023-03-23
209,Palm Coast,29.585,-81.2078,302.11,54,0,4.12,US,2023-03-23
210,Fukue,32.6881,128.8419,288.54,92,100,2.14,JP,2023-03-23
211,Anadyr,64.75,177.4833,249.43,76,75,7.0,RU,2023-03-23
212,Longonjo,-12.9067,15.2533,290.44,95,22,1.01,AO,2023-03-23
213,Huicungo,-7.2833,-76.8,303.29,70,75,2.06,PE,2023-03-23
214,Nikel,69.4128,30.222,261.25,91,100,4.2,RU,2023-03-23
215,Chokurdakh,70.6333,147.9167,239.56,100,94,2.78,RU,2023-03-23
216,Faro,37.0194,-7.9322,290.47,82,0,6.69,PT,2023-03-23
217,Kefamenanu,-9.4467,124.4781,294.62,96,100,0.64,ID,2023-03-23
218,Quesnel,52.9999,-122.5029,278.26,76,100,2.47,CA,2023-03-23
219,Severo-Yeniseyskiy,60.3725,93.0408,267.44,83,100,5.88,RU,2023-03-23
220,Acurenam,1.0322,10.6488,293.87,97,100,0.91,GQ,2023-03-23
221,Hofn,64.2539,-15.2082,272.79,65,83,8.83,IS,2023-03-23
222,Comodoro Rivadavia,-45.8667,-67.5,289.07,48,0,7.72,AR,2023-03-23
223,Cap Malheureux,-19.9842,57.6142,300.08,78,89,1.79,MU,2023-03-23
224,Tasiilaq,65.6145,-37.6368,265.24,69,0,2.05,GL,2023-03-23
225,Buraydah,26.326,43.975,295.4,25,100,5.12,SA,2023-03-23
226,Fortuna,40.5982,-124.1573,282.4,91,100,3.09,US,2023-03-23
227,Moerai,-22.4333,-151.3333,299.78,71,100,1.25,PF,2023-03-23
228,Oktyabrskiy,54.4815,53.471,274.51,98,100,3.14,RU,2023-03-23
